#REF	ALT	Missing	Total
100	120	8	228
210	8	10	228
103	123	2	228
214	2	12	228
218	10	0	228
226	2	0	228
18	210	0	228
180	48	0	228
10	218	0	228
215	9	4	228
139	85	4	228
130	94	4	228
178	50	0	228
87	141	0	228
205	23	0	228
134	92	2	228
220	2	6	228
174	54	0	228
69	157	2	228
216	8	4	228
125	103	0	228
28	200	0	228
119	107	2	228
117	109	2	228
42	184	2	228
181	47	0	228
133	95	0	228
132	96	0	228
205	23	0	228
101	127	0	228
76	152	0	228
224	4	0	228
171	45	12	228
209	7	12	228
224	4	0	228
197	25	6	228
208	20	0	228
17	199	12	228
210	16	2	228
96	130	2	228
18	210	0	228
180	38	10	228
220	4	4	228
221	3	4	228
218	10	0	228
216	4	8	228
226	2	0	228
222	6	0	228
222	6	0	228
32	196	0	228
95	133	0	228
194	34	0	228
17	211	0	228
220	8	0	228
175	53	0	228
179	41	8	228
204	22	2	228
221	7	0	228
197	31	0	228
218	10	0	228
223	5	0	228
162	66	0	228
33	193	2	228
170	56	2	228
128	98	2	228
164	64	0	228
225	3	0	228
223	5	0	228
225	3	0	228
187	41	0	228
222	4	2	228
71	157	0	228
224	2	2	228
200	28	0	228
38	190	0	228
122	106	0	228
216	2	10	228
211	17	0	228
171	57	0	228
189	39	0	228
56	170	2	228
76	144	8	228
191	33	4	228
168	58	2	228
122	106	0	228
201	23	4	228
33	195	0	228
215	13	0	228
226	2	0	228
220	8	0	228
226	2	0	228
212	16	0	228
193	35	0	228
169	59	0	228
215	5	8	228
212	12	4	228
196	22	10	228
216	2	10	228
144	76	8	228
222	6	0	228
219	5	4	228
18	210	0	228
189	39	0	228
197	29	2	228
215	13	0	228
225	3	0	228
120	98	10	228
217	11	0	228
159	67	2	228
218	10	0	228
191	37	0	228
115	113	0	228
51	173	4	228
190	38	0	228
97	131	0	228
6	222	0	228
166	62	0	228
224	4	0	228
80	148	0	228
222	2	4	228
218	2	8	228
214	2	12	228
4	212	12	228
224	4	0	228
222	6	0	228
5	223	0	228
47	181	0	228
180	48	0	228
129	99	0	228
219	9	0	228
224	4	0	228
218	2	8	228
223	3	2	228
86	138	4	228
64	162	2	228
222	6	0	228
206	20	2	228
217	5	6	228
158	68	2	228
219	7	2	228
216	8	4	228
199	27	2	228
159	65	4	228
223	5	0	228
73	153	2	228
72	156	0	228
51	177	0	228
155	73	0	228
45	183	0	228
2	216	10	228
219	3	6	228
219	9	0	228
81	145	2	228
80	138	10	228
214	2	12	228
197	21	10	228
77	147	4	228
220	8	0	228
209	19	0	228
154	72	2	228
98	130	0	228
219	9	0	228
148	80	0	228
199	25	4	228
200	24	4	228
146	82	0	228
195	33	0	228
105	123	0	228
202	26	0	228
142	86	0	228
157	71	0	228
170	54	4	228
156	72	0	228
225	3	0	228
121	107	0	228
95	133	0	228
124	104	0	228
217	11	0	228
168	54	6	228
173	55	0	228
217	7	4	228
124	94	10	228
202	26	0	228
225	3	0	228
219	5	4	228
21	207	0	228
134	90	4	228
223	5	0	228
224	2	2	228
9	219	0	228
172	56	0	228
194	34	0	228
202	26	0	228
224	4	0	228
147	81	0	228
111	113	4	228
112	108	8	228
219	5	4	228
20	208	0	228
217	3	8	228
218	10	0	228
220	4	4	228
151	75	2	228
4	224	0	228
209	7	12	228
212	16	0	228
176	52	0	228
176	52	0	228
53	175	0	228
175	51	2	228
21	207	0	228
218	10	0	228
214	14	0	228
216	10	2	228
138	90	0	228
225	3	0	228
214	12	2	228
220	2	6	228
115	109	4	228
215	3	10	228
214	6	8	228
215	13	0	228
208	18	2	228
226	2	0	228
16	210	2	228
217	11	0	228
166	56	6	228
89	139	0	228
145	79	4	228
208	20	0	228
223	5	0	228
207	13	8	228
124	96	8	228
152	72	4	228
215	3	10	228
112	116	0	228
197	29	2	228
222	6	0	228
67	155	6	228
160	58	10	228
211	7	10	228
75	151	2	228
152	76	0	228
126	96	6	228
18	210	0	228
90	138	0	228
220	4	4	228
219	7	2	228
89	139	0	228
118	110	0	228
49	179	0	228
223	5	0	228
46	182	0	228
46	182	0	228
181	45	2	228
222	2	4	228
90	138	0	228
224	2	2	228
212	4	12	228
218	10	0	228
213	5	10	228
215	11	2	228
67	159	2	228
209	19	0	228
215	11	2	228
224	4	0	228
226	2	0	228
95	133	0	228
218	10	0	228
225	3	0	228
180	44	4	228
222	4	2	228
216	12	0	228
207	11	10	228
226	2	0	228
225	3	0	228
167	51	10	228
225	3	0	228
5	223	0	228
5	223	0	228
63	161	4	228
212	4	12	228
175	51	2	228
171	57	0	228
226	2	0	228
214	4	10	228
173	55	0	228
93	133	2	228
225	3	0	228
223	3	2	228
192	30	6	228
222	6	0	228
23	205	0	228
103	125	0	228
167	61	0	228
152	76	0	228
212	16	0	228
194	34	0	228
205	23	0	228
158	62	8	228
125	99	4	228
219	9	0	228
207	21	0	228
220	6	2	228
220	2	6	228
170	56	2	228
181	47	0	228
198	30	0	228
208	18	2	228
221	5	2	228
207	17	4	228
197	21	10	228
226	2	0	228
7	221	0	228
13	211	4	228
138	90	0	228
201	27	0	228
215	5	8	228
153	75	0	228
221	7	0	228
206	22	0	228
103	125	0	228
150	70	8	228
226	2	0	228
137	85	6	228
118	108	2	228
226	2	0	228
223	5	0	228
218	2	8	228
223	5	0	228
188	40	0	228
54	170	4	228
7	221	0	228
224	4	0	228
217	9	2	228
223	5	0	228
204	20	4	228
100	118	10	228
215	11	2	228
207	11	10	228
222	6	0	228
161	65	2	228
212	8	8	228
210	18	0	228
226	2	0	228
202	26	0	228
215	5	8	228
152	70	6	228
95	133	0	228
221	7	0	228
193	35	0	228
214	14	0	228
222	6	0	228
94	124	10	228
218	2	8	228
207	19	2	228
221	7	0	228
206	20	2	228
215	3	10	228
24	204	0	228
47	181	0	228
224	2	2	228
159	69	0	228
204	22	2	228
185	43	0	228
204	18	6	228
216	12	0	228
217	11	0	228
217	11	0	228
21	203	4	228
184	40	4	228
222	6	0	228
218	2	8	228
165	63	0	228
213	3	12	228
170	58	0	228
88	140	0	228
217	7	4	228
163	65	0	228
206	22	0	228
206	22	0	228
124	102	2	228
144	84	0	228
102	126	0	228
208	20	0	228
210	18	0	228
198	24	6	228
200	26	2	228
204	24	0	228
206	22	0	228
224	4	0	228
226	2	0	228
217	11	0	228
202	26	0	228
193	35	0	228
187	41	0	228
192	36	0	228
170	58	0	228
171	57	0	228
200	28	0	228
188	40	0	228
226	2	0	228
224	4	0	228
222	4	2	228
218	4	6	228
147	69	12	228
39	183	6	228
212	16	0	228
31	197	0	228
213	5	10	228
221	5	2	228
189	39	0	228
224	2	2	228
226	2	0	228
42	186	0	228
215	5	8	228
174	50	4	228
132	96	0	228
64	164	0	228
188	40	0	228
164	64	0	228
213	15	0	228
213	15	0	228
210	6	12	228
220	2	6	228
219	9	0	228
218	10	0	228
209	13	6	228
119	109	0	228
215	13	0	228
219	9	0	228
217	7	4	228
198	30	0	228
192	26	10	228
217	11	0	228
218	10	0	228
61	165	2	228
194	24	10	228
100	118	10	228
191	25	12	228
223	5	0	228
226	2	0	228
216	12	0	228
24	198	6	228
105	123	0	228
12	216	0	228
166	62	0	228
225	3	0	228
106	118	4	228
215	13	0	228
222	6	0	228
213	15	0	228
216	12	0	228
221	7	0	228
225	3	0	228
80	148	0	228
178	38	12	228
201	27	0	228
212	8	8	228
222	2	4	228
205	23	0	228
157	59	12	228
198	30	0	228
214	14	0	228
63	163	2	228
198	28	2	228
99	129	0	228
198	30	0	228
198	30	0	228
98	126	4	228
135	91	2	228
151	73	4	228
198	30	0	228
164	52	12	228
6	222	0	228
224	4	0	228
6	222	0	228
223	3	2	228
213	3	12	228
160	66	2	228
226	2	0	228
171	57	0	228
198	28	2	228
5	223	0	228
195	29	4	228
218	4	6	228
27	201	0	228
212	4	12	228
142	78	8	228
37	191	0	228
216	2	10	228
89	139	0	228
222	6	0	228
159	69	0	228
160	66	2	228
217	11	0	228
45	173	10	228
182	36	10	228
74	152	2	228
189	39	0	228
115	113	0	228
225	3	0	228
212	4	12	228
165	51	12	228
220	4	4	228
157	71	0	228
225	3	0	228
120	106	2	228
212	10	6	228
132	92	4	228
62	162	4	228
64	164	0	228
64	164	0	228
213	15	0	228
215	13	0	228
168	60	0	228
133	93	2	228
177	51	0	228
198	30	0	228
127	99	2	228
213	15	0	228
147	69	12	228
78	148	2	228
139	89	0	228
224	4	0	228
213	13	2	228
105	123	0	228
19	207	2	228
213	3	12	228
209	7	12	228
225	3	0	228
29	197	2	228
120	108	0	228
217	11	0	228
219	3	6	228
178	50	0	228
225	3	0	228
198	30	0	228
98	130	0	228
124	94	10	228
202	26	0	228
100	126	2	228
23	205	0	228
60	168	0	228
224	4	0	228
211	17	0	228
208	20	0	228
138	78	12	228
180	42	6	228
224	4	0	228
222	2	4	228
110	108	10	228
112	116	0	228
55	171	2	228
136	90	2	228
90	136	2	228
148	78	2	228
205	23	0	228
139	89	0	228
88	140	0	228
157	69	2	228
18	202	8	228
195	33	0	228
222	4	2	228
138	90	0	228
221	7	0	228
221	7	0	228
215	7	6	228
116	110	2	228
30	186	12	228
223	5	0	228
50	176	2	228
55	161	12	228
211	15	2	228
59	169	0	228
25	191	12	228
190	26	12	228
15	209	4	228
225	3	0	228
217	3	8	228
208	18	2	228
172	56	0	228
211	7	10	228
221	7	0	228
224	4	0	228
222	4	2	228
122	106	0	228
215	7	6	228
211	17	0	228
127	101	0	228
216	4	8	228
113	109	6	228
226	2	0	228
213	15	0	228
85	141	2	228
147	81	0	228
34	194	0	228
225	3	0	228
222	6	0	228
226	2	0	228
218	10	0	228
47	175	6	228
211	7	10	228
163	53	12	228
32	196	0	228
223	3	2	228
120	108	0	228
226	2	0	228
222	4	2	228
215	11	2	228
205	13	10	228
110	114	4	228
217	11	0	228
226	2	0	228
222	6	0	228
93	127	8	228
209	7	12	228
214	14	0	228
226	2	0	228
216	4	8	228
144	78	6	228
147	81	0	228
69	159	0	228
148	80	0	228
164	64	0	228
219	9	0	228
222	4	2	228
219	3	6	228
220	8	0	228
109	109	10	228
220	8	0	228
144	84	0	228
225	3	0	228
85	139	4	228
199	29	0	228
196	32	0	228
218	2	8	228
42	184	2	228
190	38	0	228
124	92	12	228
129	93	6	228
141	87	0	228
220	2	6	228
224	4	0	228
204	24	0	228
210	8	10	228
115	105	8	228
190	38	0	228
201	15	12	228
146	80	2	228
221	7	0	228
213	15	0	228
208	20	0	228
220	8	0	228
190	38	0	228
226	2	0	228
179	47	2	228
225	3	0	228
158	70	0	228
218	2	8	228
217	11	0	228
225	3	0	228
119	105	4	228
220	8	0	228
214	4	10	228
79	147	2	228
222	6	0	228
203	25	0	228
216	6	6	228
216	8	4	228
203	25	0	228
211	7	10	228
149	77	2	228
220	8	0	228
224	4	0	228
155	73	0	228
173	55	0	228
219	5	4	228
137	89	2	228
119	109	0	228
26	202	0	228
217	11	0	228
35	193	0	228
222	6	0	228
132	96	0	228
215	13	0	228
151	75	2	228
98	128	2	228
218	2	8	228
222	6	0	228
155	69	4	228
222	6	0	228
154	68	6	228
165	61	2	228
213	13	2	228
142	76	10	228
212	6	10	228
75	153	0	228
83	145	0	228
162	64	2	228
221	5	2	228
147	81	0	228
157	67	4	228
107	119	2	228
203	13	12	228
213	13	2	228
218	2	8	228
182	44	2	228
151	77	0	228
182	44	2	228
221	7	0	228
191	37	0	228
211	9	8	228
218	10	0	228
218	2	8	228
187	41	0	228
77	143	8	228
157	61	10	228
226	2	0	228
223	5	0	228
224	2	2	228
220	8	0	228
213	15	0	228
95	133	0	228
129	93	6	228
222	4	2	228
214	10	4	228
215	3	10	228
121	107	0	228
64	164	0	228
222	6	0	228
210	10	8	228
126	102	0	228
225	3	0	228
213	9	6	228
86	140	2	228
158	70	0	228
205	23	0	228
198	20	10	228
226	2	0	228
195	31	2	228
107	115	6	228
226	2	0	228
203	15	10	228
210	18	0	228
125	97	6	228
217	9	2	228
225	3	0	228
15	207	6	228
15	201	12	228
224	4	0	228
183	45	0	228
188	40	0	228
217	11	0	228
117	109	2	228
214	8	6	228
141	79	8	228
222	6	0	228
214	14	0	228
4	224	0	228
146	72	10	228
217	3	8	228
20	208	0	228
219	7	2	228
27	199	2	228
212	16	0	228
197	31	0	228
162	58	8	228
196	32	0	228
225	3	0	228
219	9	0	228
222	6	0	228
195	31	2	228
225	3	0	228
206	22	0	228
225	3	0	228
7	217	4	228
224	2	2	228
87	133	8	228
98	130	0	228
131	97	0	228
219	9	0	228
63	159	6	228
163	53	12	228
179	49	0	228
216	2	10	228
56	172	0	228
152	74	2	228
202	14	12	228
160	68	0	228
213	15	0	228
226	2	0	228
195	29	4	228
164	62	2	228
219	5	4	228
165	63	0	228
112	116	0	228
5	217	6	228
150	76	2	228
16	212	0	228
19	209	0	228
142	86	0	228
224	4	0	228
202	20	6	228
144	84	0	228
76	150	2	228
224	4	0	228
200	26	2	228
194	30	4	228
133	95	0	228
47	173	8	228
225	3	0	228
169	59	0	228
122	104	2	228
138	90	0	228
214	10	4	228
211	7	10	228
132	94	2	228
89	135	4	228
223	5	0	228
196	24	8	228
24	204	0	228
206	18	4	228
225	3	0	228
222	6	0	228
223	5	0	228
132	94	2	228
215	7	6	228
95	133	0	228
219	5	4	228
225	3	0	228
156	60	12	228
215	11	2	228
182	46	0	228
208	16	4	228
195	33	0	228
45	183	0	228
106	120	2	228
217	3	8	228
223	3	2	228
211	17	0	228
204	24	0	228
108	108	12	228
159	69	0	228
217	11	0	228
188	40	0	228
220	8	0	228
222	2	4	228
141	87	0	228
102	120	6	228
150	68	10	228
194	30	4	228
197	31	0	228
32	196	0	228
4	220	4	228
216	4	8	228
223	3	2	228
212	16	0	228
212	16	0	228
24	204	0	228
75	153	0	228
226	2	0	228
226	2	0	228
191	37	0	228
43	181	4	228
191	37	0	228
212	16	0	228
28	200	0	228
2	226	0	228
202	26	0	228
220	6	2	228
22	204	2	228
213	3	12	228
197	31	0	228
158	64	6	228
215	13	0	228
204	24	0	228
214	2	12	228
198	30	0	228
226	2	0	228
211	17	0	228
215	13	0	228
205	23	0	228
207	11	10	228
201	27	0	228
223	5	0	228
223	5	0	228
74	154	0	228
6	216	6	228
82	146	0	228
56	172	0	228
173	55	0	228
218	6	4	228
213	15	0	228
225	3	0	228
202	24	2	228
204	24	0	228
216	10	2	228
181	43	4	228
190	38	0	228
224	4	0	228
167	61	0	228
167	61	0	228
226	2	0	228
87	141	0	228
219	9	0	228
224	2	2	228
213	11	4	228
222	6	0	228
35	193	0	228
191	29	8	228
203	25	0	228
4	218	6	228
208	8	12	228
222	6	0	228
116	112	0	228
3	223	2	228
141	85	2	228
203	23	2	228
116	112	0	228
224	2	2	228
217	3	8	228
136	92	0	228
106	120	2	228
226	2	0	228
222	4	2	228
221	5	2	228
222	4	2	228
187	35	6	228
196	32	0	228
220	6	2	228
221	5	2	228
222	4	2	228
222	2	4	228
226	2	0	228
225	3	0	228
180	48	0	228
204	24	0	228
34	192	2	228
109	119	0	228
110	118	0	228
124	104	0	228
224	2	2	228
125	99	4	228
225	3	0	228
129	87	12	228
133	91	4	228
215	13	0	228
170	48	10	228
217	11	0	228
212	16	0	228
146	82	0	228
214	14	0	228
179	47	2	228
103	121	4	228
118	110	0	228
219	3	6	228
223	3	2	228
118	106	4	228
173	55	0	228
108	116	4	228
3	215	10	228
222	2	4	228
216	12	0	228
224	4	0	228
224	4	0	228
119	107	2	228
56	172	0	228
223	5	0	228
214	14	0	228
154	70	4	228
208	14	6	228
198	30	0	228
156	72	0	228
152	76	0	228
224	4	0	228
95	129	4	228
172	50	6	228
223	3	2	228
55	173	0	228
156	72	0	228
212	8	8	228
225	3	0	228
211	7	10	228
208	20	0	228
224	2	2	228
222	6	0	228
191	25	12	228
207	13	8	228
220	8	0	228
222	4	2	228
30	198	0	228
166	62	0	228
222	4	2	228
84	142	2	228
158	70	0	228
225	3	0	228
225	3	0	228
222	6	0	228
100	124	4	228
3	223	2	228
198	18	12	228
224	2	2	228
121	107	0	228
206	14	8	228
206	12	10	228
10	210	8	228
217	3	8	228
214	14	0	228
175	51	2	228
16	206	6	228
211	11	6	228
34	194	0	228
172	56	0	228
221	3	4	228
213	15	0	228
216	12	0	228
183	33	12	228
203	23	2	228
85	141	2	228
172	52	4	228
168	60	0	228
224	4	0	228
110	106	12	228
184	36	8	228
223	5	0	228
213	15	0	228
124	104	0	228
226	2	0	228
211	9	8	228
15	213	0	228
218	4	6	228
45	183	0	228
45	177	6	228
111	117	0	228
210	18	0	228
68	158	2	228
204	24	0	228
203	23	2	228
56	160	12	228
137	91	0	228
223	5	0	228
220	2	6	228
220	2	6	228
187	39	2	228
118	98	12	228
73	145	10	228
168	60	0	228
181	47	0	228
224	2	2	228
172	54	2	228
167	49	12	228
202	20	6	228
155	73	0	228
201	27	0	228
226	2	0	228
154	74	0	228
182	34	12	228
99	127	2	228
213	11	4	228
141	85	2	228
213	11	4	228
205	23	0	228
75	149	4	228
211	17	0	228
173	55	0	228
166	62	0	228
115	109	4	228
226	2	0	228
215	5	8	228
168	60	0	228
196	30	2	228
223	5	0	228
144	84	0	228
211	17	0	228
28	190	10	228
218	4	6	228
192	36	0	228
224	4	0	228
45	181	2	228
217	11	0	228
221	7	0	228
132	86	10	228
145	83	0	228
188	40	0	228
213	5	10	228
188	38	2	228
174	46	8	228
176	44	8	228
7	213	8	228
139	77	12	228
225	3	0	228
214	8	6	228
191	37	0	228
64	164	0	228
87	139	2	228
145	73	10	228
216	2	10	228
175	53	0	228
122	104	2	228
212	4	12	228
112	116	0	228
62	166	0	228
17	211	0	228
223	5	0	228
222	4	2	228
210	6	12	228
174	52	2	228
107	121	0	228
198	30	0	228
219	9	0	228
210	18	0	228
107	117	4	228
122	106	0	228
221	7	0	228
196	26	6	228
191	31	6	228
219	9	0	228
207	19	2	228
88	140	0	228
190	32	6	228
225	3	0	228
224	4	0	228
176	52	0	228
196	30	2	228
215	3	10	228
224	4	0	228
4	222	2	228
17	207	4	228
221	5	2	228
196	32	0	228
217	3	8	228
129	99	0	228
225	3	0	228
215	3	10	228
204	20	4	228
84	136	8	228
219	5	4	228
219	5	4	228
220	8	0	228
220	8	0	228
189	37	2	228
217	11	0	228
209	19	0	228
216	2	10	228
77	151	0	228
211	17	0	228
162	66	0	228
217	9	2	228
114	110	4	228
23	205	0	228
218	8	2	228
217	11	0	228
138	88	2	228
223	3	2	228
222	4	2	228
207	9	12	228
217	3	8	228
209	19	0	228
189	39	0	228
221	3	4	228
128	96	4	228
215	3	10	228
184	44	0	228
214	8	6	228
24	204	0	228
209	7	12	228
151	75	2	228
213	7	8	228
211	17	0	228
207	11	10	228
208	20	0	228
215	3	10	228
208	20	0	228
224	4	0	228
80	148	0	228
175	53	0	228
59	159	10	228
145	83	0	228
221	7	0	228
220	8	0	228
220	8	0	228
216	4	8	228
9	211	8	228
218	8	2	228
63	157	8	228
183	45	0	228
209	15	4	228
67	159	2	228
167	57	4	228
169	59	0	228
166	58	4	228
192	36	0	228
161	67	0	228
160	68	0	228
150	78	0	228
191	25	12	228
174	52	2	228
212	16	0	228
136	92	0	228
216	6	6	228
221	7	0	228
216	2	10	228
153	75	0	228
179	47	2	228
175	53	0	228
226	2	0	228
220	6	2	228
154	70	4	228
73	155	0	228
11	207	10	228
213	3	12	228
77	151	0	228
76	144	8	228
75	143	10	228
177	49	2	228
175	45	8	228
147	77	4	228
220	2	6	228
20	196	12	228
148	80	0	228
199	27	2	228
217	11	0	228
136	92	0	228
221	7	0	228
208	20	0	228
171	57	0	228
218	8	2	228
2	226	0	228
209	11	8	228
216	4	8	228
213	15	0	228
223	5	0	228
225	3	0	228
220	8	0	228
181	47	0	228
196	32	0	228
214	4	10	228
163	65	0	228
134	86	8	228
51	173	4	228
106	118	4	228
223	5	0	228
19	209	0	228
212	16	0	228
222	6	0	228
188	32	8	228
210	18	0	228
128	98	2	228
109	111	8	228
179	39	10	228
219	7	2	228
77	151	0	228
151	67	10	228
217	9	2	228
57	169	2	228
212	8	8	228
208	20	0	228
219	5	4	228
221	3	4	228
145	83	0	228
212	14	2	228
225	3	0	228
226	2	0	228
226	2	0	228
215	9	4	228
144	84	0	228
222	4	2	228
2	226	0	228
202	14	12	228
221	3	4	228
213	15	0	228
172	48	8	228
190	32	6	228
226	2	0	228
217	9	2	228
216	4	8	228
201	19	8	228
197	31	0	228
204	24	0	228
149	79	0	228
207	17	4	228
156	72	0	228
219	9	0	228
214	4	10	228
213	3	12	228
214	10	4	228
58	170	0	228
185	43	0	228
214	4	10	228
217	3	8	228
152	70	6	228
221	7	0	228
201	17	10	228
219	5	4	228
217	5	6	228
151	69	8	228
172	44	12	228
184	40	4	228
223	5	0	228
154	66	8	228
190	34	4	228
85	143	0	228
217	11	0	228
3	225	0	228
202	24	2	228
45	183	0	228
203	23	2	228
225	3	0	228
210	18	0	228
192	24	12	228
221	7	0	228
170	58	0	228
215	9	4	228
203	23	2	228
139	89	0	228
215	7	6	228
137	91	0	228
202	26	0	228
73	155	0	228
162	66	0	228
221	7	0	228
226	2	0	228
220	6	2	228
162	66	0	228
154	72	2	228
145	83	0	228
93	133	2	228
72	146	10	228
138	78	12	228
118	110	0	228
226	2	0	228
223	5	0	228
201	27	0	228
142	86	0	228
225	3	0	228
157	59	12	228
226	2	0	228
13	203	12	228
26	202	0	228
