Species	Sample	Coefficient	Estimate
C.acrinasus	THU001	chrLR778291.1	1.02480821121837
C.acrinasus	THU001	chrLR778292.1	1.09822839098771
C.acrinasus	THU002	(Intercept)	1160.48590088954
C.acrinasus	THU002	size	0.991572734022235
C.acrinasus	THU002	chrLR778254.1	0.998212819795545
C.acrinasus	THU002	chrLR778255.1	0.958580351956196
C.acrinasus	THU002	chrLR778256.1	1.05451710972462
C.acrinasus	THU002	chrLR778257.1	1.01610044036577
C.acrinasus	THU002	chrLR778258.1	1.00944707267235
C.acrinasus	THU002	chrLR778259.1	1.04027613638747
C.acrinasus	THU002	chrLR778260.1	1.00554264107874
C.acrinasus	THU002	chrLR778261.1	0.999512099344004
C.acrinasus	THU002	chrLR778262.1	0.992712345124427
C.acrinasus	THU002	chrLR778263.1	0.986324016283761
C.acrinasus	THU002	chrLR778264.1	0.988477673448664
C.acrinasus	THU002	chrLR778265.1	1.03488673875848
C.acrinasus	THU002	chrLR778266.1	1.04607261543152
C.acrinasus	THU002	chrLR778267.1	1.00330596916366
C.acrinasus	THU002	chrLR778268.1	1.01041431725023
C.acrinasus	THU002	chrLR778269.1	1.04505056851498
C.acrinasus	THU002	chrLR778270.1	0.989554064958158
C.acrinasus	THU002	chrLR778271.1	0.990805373932085
C.acrinasus	THU002	chrLR778272.1	1.00698558049004
C.acrinasus	THU002	chrLR778273.1	0.977687568606947
C.acrinasus	THU002	chrLR778274.1	1.73718531092717
C.acrinasus	THU002	chrLR778275.1	1.03727143781334
C.acrinasus	THU002	chrLR778276.1	1.02485457047593
C.acrinasus	THU002	chrLR778277.1	1.00686156918554
C.acrinasus	THU002	chrLR778278.1	0.973195418871851
C.acrinasus	THU002	chrLR778279.1	0.979163773528566
C.acrinasus	THU002	chrLR778280.1	1.27111877841639
C.acrinasus	THU002	chrLR778281.1	0.964289479766316
C.acrinasus	THU002	chrLR778282.1	1.02518005339006
C.acrinasus	THU002	chrLR778283.1	0.969006448467551
C.acrinasus	THU002	chrLR778284.1	1.54046064844531
C.acrinasus	THU002	chrLR778285.1	0.994525385887532
C.acrinasus	THU002	chrLR778286.1	0.936687630015768
C.acrinasus	THU002	chrLR778287.1	1.2151304403544
C.acrinasus	THU002	chrLR778288.1	1.00587270744375
C.acrinasus	THU002	chrLR778289.1	1.07878793051519
C.acrinasus	THU002	chrLR778290.1	1.44343693224923
C.acrinasus	THU002	chrLR778291.1	1.02551562383376
C.acrinasus	THU002	chrLR778292.1	1.01884988346875
C.acrinasus	THU004	(Intercept)	821.892568684537
C.acrinasus	THU004	size	0.990151664120599
C.acrinasus	THU004	chrLR778254.1	1.01150194540593
C.acrinasus	THU004	chrLR778255.1	0.954331149168902
C.acrinasus	THU004	chrLR778256.1	1.09327788914142
C.acrinasus	THU004	chrLR778257.1	1.01185262948104
C.acrinasus	THU004	chrLR778258.1	1.02590550124449
C.acrinasus	THU004	chrLR778259.1	1.02439315289246
C.acrinasus	THU004	chrLR778260.1	1.03884689023296
C.acrinasus	THU004	chrLR778261.1	1.01519825385285
C.acrinasus	THU004	chrLR778262.1	1.00202812531787
C.acrinasus	THU004	chrLR778263.1	1.03506179524858
C.acrinasus	THU004	chrLR778264.1	0.997129699959051
C.acrinasus	THU004	chrLR778265.1	0.999337006578755
C.acrinasus	THU004	chrLR778266.1	1.01606503463958
C.acrinasus	THU004	chrLR778267.1	1.02743928304767
C.acrinasus	THU004	chrLR778268.1	1.02915433531326
C.acrinasus	THU004	chrLR778269.1	1.06244082222437
C.acrinasus	THU004	chrLR778270.1	0.999396603891723
C.acrinasus	THU004	chrLR778271.1	1.01743384539501
C.acrinasus	THU004	chrLR778272.1	1.02674393502189
C.acrinasus	THU004	chrLR778273.1	0.99479570728686
C.acrinasus	THU004	chrLR778274.1	1.69150462460145
C.acrinasus	THU004	chrLR778275.1	1.0374795013162
C.acrinasus	THU004	chrLR778276.1	1.0212480253638
C.acrinasus	THU004	chrLR778277.1	0.988140971094289
C.acrinasus	THU004	chrLR778278.1	0.984616527315577
C.acrinasus	THU004	chrLR778279.1	0.990972928315778
C.acrinasus	THU004	chrLR778280.1	1.31863625727081
C.acrinasus	THU004	chrLR778281.1	1.06163082573864
C.acrinasus	THU004	chrLR778282.1	0.998486356139183
C.acrinasus	THU004	chrLR778283.1	0.980249196276116
C.acrinasus	THU004	chrLR778284.1	1.54965348557462
C.acrinasus	THU004	chrLR778285.1	1.00943922029208
C.acrinasus	THU004	chrLR778286.1	0.952790842723407
C.acrinasus	THU004	chrLR778287.1	1.21373511590314
C.acrinasus	THU004	chrLR778288.1	1.02585035550816
C.acrinasus	THU004	chrLR778289.1	1.06294044113375
C.acrinasus	THU004	chrLR778290.1	1.58334187855308
C.acrinasus	THU004	chrLR778291.1	1.02685110063068
C.acrinasus	THU004	chrLR778292.1	1.08685978577039
C.acrinasus	THU038	(Intercept)	2035.71550831722
C.acrinasus	THU038	size	0.992590503103202
C.acrinasus	THU038	chrLR778254.1	0.988506403722379
C.acrinasus	THU038	chrLR778255.1	0.966682694673829
C.acrinasus	THU038	chrLR778256.1	1.09004065005408
C.acrinasus	THU038	chrLR778257.1	1.01901217294159
C.acrinasus	THU038	chrLR778258.1	1.03306499937271
C.acrinasus	THU038	chrLR778259.1	1.01851032277046
C.acrinasus	THU038	chrLR778260.1	1.01952950286064
C.acrinasus	THU038	chrLR778261.1	0.996011757239449
C.acrinasus	THU038	chrLR778262.1	1.01073604255122
C.acrinasus	THU038	chrLR778263.1	1.00854071174679
C.acrinasus	THU038	chrLR778264.1	0.998133119439537
C.acrinasus	THU038	chrLR778265.1	1.01049938751865
C.acrinasus	THU038	chrLR778266.1	1.04871386879872
C.acrinasus	THU038	chrLR778267.1	1.03525458337008
C.acrinasus	THU038	chrLR778268.1	1.01378228005355
C.acrinasus	THU038	chrLR778269.1	1.05086513761389
C.acrinasus	THU038	chrLR778270.1	0.984173073717377
C.acrinasus	THU038	chrLR778271.1	1.0034750429781
C.acrinasus	THU038	chrLR778272.1	1.02193145206566
C.acrinasus	THU038	chrLR778273.1	1.01189632870788
C.acrinasus	THU038	chrLR778274.1	1.62486054177735
C.acrinasus	THU038	chrLR778275.1	1.04057410280041
C.acrinasus	THU038	chrLR778276.1	1.04128898818212
C.acrinasus	THU038	chrLR778277.1	1.0217101035465
C.acrinasus	THU038	chrLR778278.1	0.97350925598632
C.acrinasus	THU038	chrLR778279.1	1.00110973471728
C.acrinasus	THU038	chrLR778280.1	1.27654928632928
C.acrinasus	THU038	chrLR778281.1	1.00050025056787
C.acrinasus	THU038	chrLR778282.1	1.02023840842644
C.acrinasus	THU038	chrLR778283.1	0.968872587022314
C.acrinasus	THU038	chrLR778284.1	1.504968201374
C.acrinasus	THU038	chrLR778285.1	1.00290724478916
C.acrinasus	THU038	chrLR778286.1	0.953447659352408
C.acrinasus	THU038	chrLR778287.1	1.18676768076132
C.acrinasus	THU038	chrLR778288.1	0.99945502262585
C.acrinasus	THU038	chrLR778289.1	1.07054083952688
C.acrinasus	THU038	chrLR778290.1	1.46744013261766
C.acrinasus	THU038	chrLR778291.1	1.08227391610095
C.acrinasus	THU038	chrLR778292.1	0.952793033632501
C.acrinasus	THU067	(Intercept)	1204.06650852237
C.acrinasus	THU067	size	0.992275459485741
C.acrinasus	THU067	chrLR778254.1	0.958863005739907
C.acrinasus	THU067	chrLR778255.1	0.946109549835288
C.acrinasus	THU067	chrLR778256.1	1.05091754321095
C.acrinasus	THU067	chrLR778257.1	0.972798651994522
C.acrinasus	THU067	chrLR778258.1	1.01216386460679
C.acrinasus	THU067	chrLR778259.1	1.00956599864122
C.acrinasus	THU067	chrLR778260.1	0.983113473118231
C.acrinasus	THU067	chrLR778261.1	0.970797615473088
C.acrinasus	THU067	chrLR778262.1	0.953049987217973
C.acrinasus	THU067	chrLR778263.1	0.971397997648982
C.acrinasus	THU067	chrLR778264.1	0.971360987647326
C.acrinasus	THU067	chrLR778265.1	0.977776001911266
C.acrinasus	THU067	chrLR778266.1	1.03541427270189
C.acrinasus	THU067	chrLR778267.1	0.983584908588406
C.acrinasus	THU067	chrLR778268.1	0.985355037220209
C.acrinasus	THU067	chrLR778269.1	1.03236421518064
C.acrinasus	THU067	chrLR778270.1	0.955447942465241
C.acrinasus	THU067	chrLR778271.1	0.984057495327386
C.acrinasus	THU067	chrLR778272.1	1.00210988418211
C.acrinasus	THU067	chrLR778273.1	0.962216128694868
C.acrinasus	THU067	chrLR778274.1	1.52465682944901
C.acrinasus	THU067	chrLR778275.1	0.987955205070487
C.acrinasus	THU067	chrLR778276.1	0.98804959488278
C.acrinasus	THU067	chrLR778277.1	0.972875089831252
C.acrinasus	THU067	chrLR778278.1	0.975023882257705
C.acrinasus	THU067	chrLR778279.1	0.988334402244508
C.acrinasus	THU067	chrLR778280.1	1.24073908910325
C.acrinasus	THU067	chrLR778281.1	0.955351373363309
C.acrinasus	THU067	chrLR778282.1	0.976871185408709
C.acrinasus	THU067	chrLR778283.1	0.946789344751109
C.acrinasus	THU067	chrLR778284.1	1.44816024923258
C.acrinasus	THU067	chrLR778285.1	0.963618353945613
C.acrinasus	THU067	chrLR778286.1	0.931644958712627
C.acrinasus	THU067	chrLR778287.1	1.19285019463369
C.acrinasus	THU067	chrLR778288.1	0.975330070868161
C.acrinasus	THU067	chrLR778289.1	1.04659161820159
C.acrinasus	THU067	chrLR778290.1	1.36978449332493
C.acrinasus	THU067	chrLR778291.1	0.97588241832829
C.acrinasus	THU067	chrLR778292.1	1.04580466907651
C.acrinasus	THU097	(Intercept)	1264.13751604246
C.acrinasus	THU097	size	0.992271878053123
C.acrinasus	THU097	chrLR778254.1	0.985245911735165
C.acrinasus	THU097	chrLR778255.1	0.953493388990273
C.acrinasus	THU097	chrLR778256.1	1.05553052181119
C.acrinasus	THU097	chrLR778257.1	1.00443483517168
C.acrinasus	THU097	chrLR778258.1	1.00555216304811
C.acrinasus	THU097	chrLR778259.1	1.00789951226247
C.acrinasus	THU097	chrLR778260.1	0.99999502978113
C.acrinasus	THU097	chrLR778261.1	0.967615786558916
C.acrinasus	THU097	chrLR778262.1	0.955981914206824
C.acrinasus	THU097	chrLR778263.1	0.987544615805865
C.acrinasus	THU097	chrLR778264.1	0.972044219535163
C.acrinasus	THU097	chrLR778265.1	0.980563673467199
C.acrinasus	THU097	chrLR778266.1	1.02380644888221
C.acrinasus	THU097	chrLR778267.1	1.0148967965463
C.acrinasus	THU097	chrLR778268.1	0.991540815535349
C.acrinasus	THU097	chrLR778269.1	1.00904456732135
C.acrinasus	THU097	chrLR778270.1	0.975320163924105
C.acrinasus	THU097	chrLR778271.1	0.973607624758128
C.acrinasus	THU097	chrLR778272.1	0.995596905685004
C.acrinasus	THU097	chrLR778273.1	0.986856136675254
C.acrinasus	THU097	chrLR778274.1	1.59717087273618
C.acrinasus	THU097	chrLR778275.1	1.01429763281178
C.acrinasus	THU097	chrLR778276.1	1.00451709335925
C.acrinasus	THU097	chrLR778277.1	0.987553000898823
C.acrinasus	THU097	chrLR778278.1	0.972442881313862
C.acrinasus	THU097	chrLR778279.1	0.984964060427818
C.acrinasus	THU097	chrLR778280.1	1.26799888421128
C.acrinasus	THU097	chrLR778281.1	0.967851953901066
C.acrinasus	THU097	chrLR778282.1	0.999887787109377
C.acrinasus	THU097	chrLR778283.1	0.957495400296334
C.acrinasus	THU097	chrLR778284.1	1.50655928807683
C.acrinasus	THU097	chrLR778285.1	0.980780450627275
C.acrinasus	THU097	chrLR778286.1	0.938465390897415
C.acrinasus	THU097	chrLR778287.1	1.21939565311929
C.acrinasus	THU097	chrLR778288.1	0.976504712086416
C.acrinasus	THU097	chrLR778289.1	1.05531301024264
C.acrinasus	THU097	chrLR778290.1	1.4558055235095
C.acrinasus	THU097	chrLR778291.1	1.02319158234497
C.acrinasus	THU097	chrLR778292.1	1.09255098135628
C.acrinasus	THU114	(Intercept)	735.657128838958
C.acrinasus	THU114	size	0.992588944804385
C.acrinasus	THU114	chrLR778254.1	0.985512339154718
C.acrinasus	THU114	chrLR778255.1	0.987763054267507
C.acrinasus	THU114	chrLR778256.1	1.06840743556309
C.acrinasus	THU114	chrLR778257.1	1.00254909243724
C.acrinasus	THU114	chrLR778258.1	1.00957614834144
C.acrinasus	THU114	chrLR778259.1	1.01967004923014
C.acrinasus	THU114	chrLR778260.1	1.05766597622235
C.acrinasus	THU114	chrLR778261.1	0.990320986975777
C.acrinasus	THU114	chrLR778262.1	1.00848819954611
C.acrinasus	THU114	chrLR778263.1	1.00866617120661
C.acrinasus	THU114	chrLR778264.1	1.03858599546279
C.acrinasus	THU114	chrLR778265.1	1.02960301631388
C.acrinasus	THU114	chrLR778266.1	1.07763555066781
C.acrinasus	THU114	chrLR778267.1	1.01982569600419
C.acrinasus	THU114	chrLR778268.1	1.03150848350121
C.acrinasus	THU114	chrLR778269.1	1.05370762614739
C.acrinasus	THU114	chrLR778270.1	1.00345955897156
C.acrinasus	THU114	chrLR778271.1	1.03392945829192
C.acrinasus	THU114	chrLR778272.1	1.04223283410039
C.acrinasus	THU114	chrLR778273.1	1.00769813350608
C.acrinasus	THU114	chrLR778274.1	1.38029781141359
C.acrinasus	THU114	chrLR778275.1	1.03183200769718
C.acrinasus	THU114	chrLR778276.1	1.03929661204339
C.acrinasus	THU114	chrLR778277.1	1.04073518172471
C.acrinasus	THU114	chrLR778278.1	1.0072043337316
C.acrinasus	THU114	chrLR778279.1	1.03485141664766
C.acrinasus	THU114	chrLR778280.1	1.11695605712578
C.acrinasus	THU114	chrLR778281.1	1.01381097575441
C.acrinasus	THU114	chrLR778282.1	1.00933085075823
C.acrinasus	THU114	chrLR778283.1	0.994201781269072
C.acrinasus	THU114	chrLR778284.1	1.27675589028637
C.acrinasus	THU114	chrLR778285.1	1.01678952895864
C.acrinasus	THU114	chrLR778286.1	1.00271369759556
C.acrinasus	THU114	chrLR778287.1	1.16936584680026
C.acrinasus	THU114	chrLR778288.1	0.978590789527187
C.acrinasus	THU114	chrLR778289.1	1.06035320868259
C.acrinasus	THU114	chrLR778290.1	1.34419447191234
C.acrinasus	THU114	chrLR778291.1	1.01873724666919
C.acrinasus	THU114	chrLR778292.1	1.07435250338395
C.acrinasus	THU143	(Intercept)	492.985851819196
C.acrinasus	THU143	size	0.992042357139
C.acrinasus	THU143	chrLR778254.1	0.935415854395502
C.acrinasus	THU143	chrLR778255.1	0.929276700902738
C.acrinasus	THU143	chrLR778256.1	1.02739602642936
C.acrinasus	THU143	chrLR778257.1	0.968776661155035
C.acrinasus	THU143	chrLR778258.1	0.981520060924522
C.acrinasus	THU143	chrLR778259.1	0.971213349257832
C.acrinasus	THU143	chrLR778260.1	0.966957285961984
C.acrinasus	THU143	chrLR778261.1	0.954330801029871
C.acrinasus	THU143	chrLR778262.1	0.958167157636486
C.acrinasus	THU143	chrLR778263.1	0.981329158496773
C.acrinasus	THU143	chrLR778264.1	0.965915164362133
C.acrinasus	THU143	chrLR778265.1	0.958137670855488
C.acrinasus	THU143	chrLR778266.1	0.955401347899542
C.acrinasus	THU143	chrLR778267.1	0.957462577204519
C.acrinasus	THU143	chrLR778268.1	0.958015052889316
C.acrinasus	THU143	chrLR778269.1	1.00368695952771
C.acrinasus	THU143	chrLR778270.1	0.940645162982278
C.acrinasus	THU143	chrLR778271.1	0.954881255448775
C.acrinasus	THU143	chrLR778272.1	0.967978896199891
C.acrinasus	THU143	chrLR778273.1	0.970765932053058
C.acrinasus	THU143	chrLR778274.1	1.5881858767368
C.acrinasus	THU143	chrLR778275.1	1.00637941013878
C.acrinasus	THU143	chrLR778276.1	0.971535428576545
C.acrinasus	THU143	chrLR778277.1	0.945857459932404
C.acrinasus	THU143	chrLR778278.1	0.953216413701481
C.acrinasus	THU143	chrLR778279.1	0.936301167181845
C.acrinasus	THU143	chrLR778280.1	1.25476803505947
C.acrinasus	THU143	chrLR778281.1	0.966653268789249
C.acrinasus	THU143	chrLR778282.1	0.972311365762492
C.acrinasus	THU143	chrLR778283.1	0.922895261407895
C.acrinasus	THU143	chrLR778284.1	1.50254664139511
C.acrinasus	THU143	chrLR778285.1	0.948374795632078
C.acrinasus	THU143	chrLR778286.1	0.951352672237285
C.acrinasus	THU143	chrLR778287.1	1.18914519529833
C.acrinasus	THU143	chrLR778288.1	0.946465666148626
C.acrinasus	THU143	chrLR778289.1	1.04492210098711
C.acrinasus	THU143	chrLR778290.1	1.44941921508987
C.acrinasus	THU143	chrLR778291.1	1.01325763986252
C.acrinasus	THU143	chrLR778292.1	0.98356369941702
C.acrinasus	THU183	(Intercept)	967.07821822013
C.acrinasus	THU183	size	0.992672544045257
C.acrinasus	THU183	chrLR778254.1	0.986037809663369
C.acrinasus	THU183	chrLR778255.1	0.971659887341905
C.acrinasus	THU183	chrLR778256.1	1.09930583131832
C.acrinasus	THU183	chrLR778257.1	1.01588968820393
C.acrinasus	THU183	chrLR778258.1	1.01912253376477
C.acrinasus	THU183	chrLR778259.1	1.03200828722417
C.acrinasus	THU183	chrLR778260.1	1.01061081731384
C.acrinasus	THU183	chrLR778261.1	0.989140459703256
C.acrinasus	THU183	chrLR778262.1	1.01019538496938
C.acrinasus	THU183	chrLR778263.1	1.01366337029619
C.acrinasus	THU183	chrLR778264.1	1.0108404486658
C.acrinasus	THU183	chrLR778265.1	1.01762728714706
C.acrinasus	THU183	chrLR778266.1	1.00028395598316
C.acrinasus	THU183	chrLR778267.1	1.03471064209184
C.acrinasus	THU183	chrLR778268.1	1.03009189576576
C.acrinasus	THU183	chrLR778269.1	1.05108324100773
C.acrinasus	THU183	chrLR778270.1	1.00453532511295
C.acrinasus	THU183	chrLR778271.1	1.01392085970063
C.acrinasus	THU183	chrLR778272.1	1.03349526526065
C.acrinasus	THU183	chrLR778273.1	1.01125494649683
C.acrinasus	THU183	chrLR778274.1	1.71865371846234
C.acrinasus	THU183	chrLR778275.1	1.03925916603654
C.acrinasus	THU183	chrLR778276.1	1.05012865035747
C.acrinasus	THU183	chrLR778277.1	1.00917431640535
C.acrinasus	THU183	chrLR778278.1	1.01872282468324
C.acrinasus	THU183	chrLR778279.1	0.998110767261981
C.acrinasus	THU183	chrLR778280.1	1.30691903631758
C.acrinasus	THU183	chrLR778281.1	0.99350069282062
C.acrinasus	THU183	chrLR778282.1	1.01704406838538
C.acrinasus	THU183	chrLR778283.1	0.982753729126129
C.acrinasus	THU183	chrLR778284.1	1.6214791893272
C.acrinasus	THU183	chrLR778285.1	1.02371733003453
C.acrinasus	THU183	chrLR778286.1	0.968578831804772
C.acrinasus	THU183	chrLR778287.1	1.23304898633303
C.acrinasus	THU183	chrLR778288.1	1.01231512667215
C.acrinasus	THU183	chrLR778289.1	1.10972072098909
C.acrinasus	THU183	chrLR778290.1	1.51419772725531
C.acrinasus	THU183	chrLR778291.1	1.07497226705234
C.acrinasus	THU183	chrLR778292.1	1.0649944372689
C.acrinasus	THU187	(Intercept)	1028.30044986682
C.acrinasus	THU187	size	0.991914886195763
C.acrinasus	THU187	chrLR778254.1	0.986149904152416
C.acrinasus	THU187	chrLR778255.1	0.960426217624999
C.acrinasus	THU187	chrLR778256.1	1.08384998301425
C.acrinasus	THU187	chrLR778257.1	0.993995686917509
C.acrinasus	THU187	chrLR778258.1	1.01490422624687
C.acrinasus	THU187	chrLR778259.1	0.992996123843761
C.acrinasus	THU187	chrLR778260.1	1.0280074482702
C.acrinasus	THU187	chrLR778261.1	0.998208220856015
C.acrinasus	THU187	chrLR778262.1	0.975098548931223
C.acrinasus	THU187	chrLR778263.1	1.02839930275898
C.acrinasus	THU187	chrLR778264.1	1.01180768039608
C.acrinasus	THU187	chrLR778265.1	0.981079824160167
C.acrinasus	THU187	chrLR778266.1	0.994862965799506
C.acrinasus	THU187	chrLR778267.1	1.02218733398981
C.acrinasus	THU187	chrLR778268.1	1.01806907989968
C.acrinasus	THU187	chrLR778269.1	1.01751070936502
C.acrinasus	THU187	chrLR778270.1	1.00263703468758
C.acrinasus	THU187	chrLR778271.1	1.03331560636209
C.acrinasus	THU187	chrLR778272.1	1.01854942151021
C.acrinasus	THU187	chrLR778273.1	0.998487408412449
C.acrinasus	THU187	chrLR778274.1	1.65628941917587
C.acrinasus	THU187	chrLR778275.1	1.00454797674221
C.acrinasus	THU187	chrLR778276.1	0.987610373922687
C.acrinasus	THU187	chrLR778277.1	1.009864637578
C.acrinasus	THU187	chrLR778278.1	0.989793242467716
C.acrinasus	THU187	chrLR778279.1	0.966033384700088
C.acrinasus	THU187	chrLR778280.1	1.31451896559666
C.acrinasus	THU187	chrLR778281.1	0.975790459824775
C.acrinasus	THU187	chrLR778282.1	1.00168717580658
C.acrinasus	THU187	chrLR778283.1	0.956997812011437
C.acrinasus	THU187	chrLR778284.1	1.63348140078892
C.acrinasus	THU187	chrLR778285.1	0.975164814628855
C.acrinasus	THU187	chrLR778286.1	0.96256892008467
C.acrinasus	THU187	chrLR778287.1	1.22226844955719
C.acrinasus	THU187	chrLR778288.1	1.01422539743744
C.acrinasus	THU187	chrLR778289.1	1.08589447342904
C.acrinasus	THU187	chrLR778290.1	1.54507576767026
C.acrinasus	THU187	chrLR778291.1	1.04336233870651
C.acrinasus	THU187	chrLR778292.1	1.11201012739248
C.albellus	THU007	(Intercept)	1051.27337230908
C.albellus	THU007	size	0.992622525191655
C.albellus	THU007	chrLR778254.1	0.975954742582154
C.albellus	THU007	chrLR778255.1	0.970658907240983
C.albellus	THU007	chrLR778256.1	1.08318175572492
C.albellus	THU007	chrLR778257.1	1.02168960930874
C.albellus	THU007	chrLR778258.1	1.01675611205633
C.albellus	THU007	chrLR778259.1	1.02942341599939
C.albellus	THU007	chrLR778260.1	1.02507693987585
C.albellus	THU007	chrLR778261.1	0.989117576459562
C.albellus	THU007	chrLR778262.1	0.998850649796384
C.albellus	THU007	chrLR778263.1	1.01097647288281
C.albellus	THU007	chrLR778264.1	0.998840898434993
C.albellus	THU007	chrLR778265.1	0.997432116474421
C.albellus	THU007	chrLR778266.1	1.03979487517177
C.albellus	THU007	chrLR778267.1	1.00343057383739
C.albellus	THU007	chrLR778268.1	1.01286366894429
C.albellus	THU007	chrLR778269.1	1.04518055164125
C.albellus	THU007	chrLR778270.1	0.990019108568128
C.albellus	THU007	chrLR778271.1	0.996416457583894
C.albellus	THU007	chrLR778272.1	1.02566814225074
C.albellus	THU007	chrLR778273.1	1.01313846672133
C.albellus	THU007	chrLR778274.1	1.69359665881268
C.albellus	THU007	chrLR778275.1	1.01454307827334
C.albellus	THU007	chrLR778276.1	1.01473565368945
C.albellus	THU007	chrLR778277.1	0.995950394958999
C.albellus	THU007	chrLR778278.1	0.984847919026493
C.albellus	THU007	chrLR778279.1	0.996106874020643
C.albellus	THU007	chrLR778280.1	1.31297894917626
C.albellus	THU007	chrLR778281.1	1.00329908334953
C.albellus	THU007	chrLR778282.1	0.993678821954032
C.albellus	THU007	chrLR778283.1	0.977888957791421
C.albellus	THU007	chrLR778284.1	1.54155065417234
C.albellus	THU007	chrLR778285.1	1.01254213686352
C.albellus	THU007	chrLR778286.1	0.951031002325227
C.albellus	THU007	chrLR778287.1	1.22390517819034
C.albellus	THU007	chrLR778288.1	0.996278444701887
C.albellus	THU007	chrLR778289.1	1.06444065886118
C.albellus	THU007	chrLR778290.1	1.50600113866096
C.albellus	THU007	chrLR778291.1	1.05427035400552
C.albellus	THU007	chrLR778292.1	1.11736614267937
C.albellus	THU010	(Intercept)	971.802105856816
C.albellus	THU010	size	0.990441522575323
C.albellus	THU010	chrLR778254.1	0.977035568077725
C.albellus	THU010	chrLR778255.1	0.938092760678094
C.albellus	THU010	chrLR778256.1	1.06046045442029
C.albellus	THU010	chrLR778257.1	1.00997461022423
C.albellus	THU010	chrLR778258.1	0.983030168704602
C.albellus	THU010	chrLR778259.1	1.02651379639
C.albellus	THU010	chrLR778260.1	1.01683594512824
C.albellus	THU010	chrLR778261.1	1.00027516501206
C.albellus	THU010	chrLR778262.1	0.966951723122543
C.albellus	THU010	chrLR778263.1	0.99553997076715
C.albellus	THU010	chrLR778264.1	0.980581413424591
C.albellus	THU010	chrLR778265.1	0.994785120690179
C.albellus	THU010	chrLR778266.1	0.987983083648932
C.albellus	THU010	chrLR778267.1	0.991090653849179
C.albellus	THU010	chrLR778268.1	0.995763751301128
C.albellus	THU010	chrLR778269.1	1.02268847155804
C.albellus	THU010	chrLR778270.1	0.954296927181609
C.albellus	THU010	chrLR778271.1	0.976375918574652
C.albellus	THU010	chrLR778272.1	1.00604631812932
C.albellus	THU010	chrLR778273.1	0.985056324287543
C.albellus	THU010	chrLR778274.1	1.62589846749665
C.albellus	THU010	chrLR778275.1	0.993789368358736
C.albellus	THU010	chrLR778276.1	1.00629383469448
C.albellus	THU010	chrLR778277.1	0.976971876034498
C.albellus	THU010	chrLR778278.1	0.979567157006139
C.albellus	THU010	chrLR778279.1	0.973546209703041
C.albellus	THU010	chrLR778280.1	1.28167606727438
C.albellus	THU010	chrLR778281.1	0.971122624783133
C.albellus	THU010	chrLR778282.1	0.99282338397905
C.albellus	THU010	chrLR778283.1	0.971011023004911
C.albellus	THU010	chrLR778284.1	1.48431005622468
C.albellus	THU010	chrLR778285.1	0.993099323730535
C.albellus	THU010	chrLR778286.1	0.949735580835928
C.albellus	THU010	chrLR778287.1	1.20614369056152
C.albellus	THU010	chrLR778288.1	0.983372412616128
C.albellus	THU010	chrLR778289.1	1.0505425767863
C.albellus	THU010	chrLR778290.1	1.50341613169425
C.albellus	THU010	chrLR778291.1	0.970750988540429
